v025,state,id,variable,mean,lci,uci
1,arunachal pradesh,S128,nfhs3s_urban,5.574912891986063,2.939245950734879,8.210579833237247
1,arunachal pradesh,S130,nfhs3s_urban,0.6097560975609756,0.01847242589342107,1.2010397692285302
1,arunachal pradesh,S15,nfhs3s_urban,90.54726368159204,86.04859181908908,95.04593554409499
1,arunachal pradesh,S17,nfhs3s_urban,59.950248756218905,49.664550832057905,70.23594668037991
1,arunachal pradesh,S87,nfhs3s_urban,30.31914893617021,24.440664264493243,36.19763360784717
1,arunachal pradesh,S89,nfhs3s_urban,10.638297872340425,7.488284838219728,13.788310906461124
1,arunachal pradesh,S129,nfhs3s_urban,49.50248756218905,41.378548646662594,57.62642647771551
1,arunachal pradesh,S131,nfhs3s_urban,25.870646766169152,19.570821842596935,32.170471689741376
1,arunachal pradesh,S81,nfhs3s_urban,34.07960199004975,26.44439339237006,41.714810587729446
1,arunachal pradesh,S82,nfhs3s_urban,24.378109452736318,18.72867682433078,30.027542081141856
1,arunachal pradesh,S83,nfhs3s_urban,13.930348258706468,8.09048256907203,19.770213948340906
1,arunachal pradesh,S84,nfhs3s_urban,38.059701492537314,29.011777328751826,47.107625656322796
1,arunachal pradesh,S85,nfhs3s_urban,1.4925373134328357,0.19738297059948648,2.787691656266185
1,arunachal pradesh,S92,nfhs3s_urban,57.18309859154929,49.96815566687562,64.39804151622296
1,arunachal pradesh,S07,nfhs3s_urban,91.48047609104198,85.48375401004658,97.47719817203738
1,arunachal pradesh,S08,nfhs3s_urban,87.63833785759032,82.28202416493795,92.99465155024266
1,arunachal pradesh,S09,nfhs3s_urban,52.62058884944665,42.40158103407127,62.839596664822025
1,arunachal pradesh,S10,nfhs3s_urban,38.38495575221239,25.580022330549134,51.18988917387565
1,arunachal pradesh,S12,nfhs3s_urban,13.340807174887892,6.17253159783731,20.50908275193847
1,assam,S86,nfhs3s_urban,12.734288864388093,10.90877359617018,14.559804132606008
1,assam,S88,nfhs3s_urban,19.680264608599778,17.430167116143373,21.930362101056186
1,assam,S14,nfhs3s_urban,83.88206388206389,80.97841974157902,86.78570802254876
1,assam,S16,nfhs3s_urban,48.353808353808354,42.84273951623643,53.86487719138028
1,assam,S20,nfhs3s_urban,18.428184281842817,14.345341472221532,22.5110270914641
1,assam,S20_rev,nfhs3s_urban,81.57181571815717,77.48897290853589,85.65465852777845
1,assam,S128,nfhs3s_urban,35.52825552825553,32.11556949329644,38.94094156321461
1,assam,S130,nfhs3s_urban,0.687960687960688,0.10823610107636647,1.2676852748450094
1,assam,S15,nfhs3s_urban,95.7280385078219,94.63076761861147,96.82530939703233
1,assam,S17,nfhs3s_urban,62.311860325105364,58.03318718662865,66.59053346358206
1,assam,S87,nfhs3s_urban,14.91638795986622,12.706064240010159,17.12671167972228
1,assam,S89,nfhs3s_urban,14.782608695652172,12.37051414768424,17.1947032436201
1,assam,S129,nfhs3s_urban,66.84717208182911,64.14910812125132,69.54523604240693
1,assam,S131,nfhs3s_urban,47.53309265944645,42.15075959629368,52.91542572259922
1,assam,S81,nfhs3s_urban,29.40251572327044,25.237416948922743,33.56761449761814
1,assam,S82,nfhs3s_urban,8.333333333333334,5.887279542200268,10.7793871244664
1,assam,S83,nfhs3s_urban,7.8616352201257875,5.368482172991093,10.354788267260481
1,assam,S84,nfhs3s_urban,19.025157232704405,15.202798352204411,22.847516113204396
