sdistri,nfhs4d_pc1,nfhs5d_pc1
348,-1.8509027750690774,-0.32750157186900575
349,-2.927863107441071,-0.8806630048750979
350,-2.657495085640996,-1.6693638630590393
351,-3.795500571627911,-1.6904453558500243
352,-3.0190308899092706,-1.8284183427798375
353,-3.5269256484178246,-2.276680988449058
354,-0.9038954391192807,0.7164064840297107
355,-0.89284170276756,1.0129635253096527
356,-1.7834194619448311,0.5954716872984483
357,0.3463089708274545,1.6970259057646406
358,-2.4933058424763965,-0.26124399857876945
359,-3.4741558854260455,-1.169071677881933
360,-1.4052657507308903,0.2154512556217184
361,-0.3536822073109885,0.7886417808005014
362,-3.427873427739356,-1.676054251371928
363,-3.176889021112005,-1.4269008533314778
364,0.05331278982537986,1.9563833365618748
365,-2.7707392645256377,-0.6272139777873182
366,-1.966282025706434,-0.38535374227572616
367,-2.8658206767660848,-0.11464935605096427
368,-2.823610433176583,-1.6835523924227287
369,-1.3934215482236376,0.4575470618702422
370,-0.660982816530112,1.1913455367006942
371,0.54506789529608,1.6759731840951513
372,-0.16778663071102837,1.3500571460991408
373,-1.1661617886445153,0.3553740866291475
374,-0.08046002677989428,1.0615699114229948
375,-1.4533774684857188,-0.38895417982586344
376,-2.3429903708391464,-0.9815158315338715
377,-0.28874031398339356,0.8525840548429401
378,-0.13868685374120215,1.234496681637143
379,0.1470968406166908,1.6240822676792102
380,0.6361808091888405,1.7905897951397511
381,0.4530271188442227,1.5028138586592272
382,0.3363522587768785,0.8812066865783778
383,-0.6976592301706992,0.2327275052841885
384,-0.5431445586309909,0.42554929319758455
385,-0.7360245522196436,0.5353951132168462
386,0.9831558640145913,2.2478854425720414
387,0.7127000409845192,1.878617893285344
388,-0.68543382678004,1.3256549953686612
389,-1.8755316664944186,-0.9771623259917399
390,-2.2904926789109696,-0.16154193435446554
391,-1.4295314267187187,0.1314251828069921
392,-0.8479345173878369,1.3329231507062418
393,-1.363657120576922,0.7727144255476981
