id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total,nfhs3s_total,nfhs3s_urban,nfhs3s_rural,nfhs4s_urban,nfhs4s_rural
S120,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,34.7,17.1,24.6,21,NA,NA,NA,NA,NA
S121,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,10.9,19.4,15.8,29.7,NA,NA,NA,NA,NA
S122,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,88.5,89.8,89.2,81.8,NA,NA,NA,NA,NA
S123,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,80.8,80.9,80.8,66.9,NA,NA,NA,NA,NA
S124,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,98.5,99.1,98.9,90.3,NA,NA,NA,NA,NA
S125,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,23.2,13.2,17.2,18.4,NA,NA,NA,NA,NA
S126,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0,0.5,0.3,3.2,NA,NA,NA,NA,NA
S127,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,1.4,2.2,1.8,2.9,NA,NA,NA,NA,NA
S128,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,15,41.1,31.3,25.113729179443965,NA,NA,NA,15.341169374526828,32.72217402758612
S129,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,44.7,66.4,58.7,60.94189768661872,NA,NA,NA,61.344616933575494,60.66315164691392
S130,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,0.7,7.6,5,2.466070637081481,NA,NA,NA,1.1761909334585885,3.470308910539245
S131,andaman and nicobar islands,andaman and nicobar islands,Andaman & Nicobar Islands,33.8,41.9,39.1,50.545320144140106,NA,NA,NA,56.51457923210164,46.4136394675526
S01,andhra pradesh,andhra pradesh,Andhra Pradesh,75.5,61.2,65.6,62,NA,NA,NA,NA,NA
S02,andhra pradesh,andhra pradesh,Andhra Pradesh,21.3,22.6,22.2,23.7,NA,NA,NA,NA,NA
S03,andhra pradesh,andhra pradesh,Andhra Pradesh,1024,1055,1045,1021,NA,NA,NA,NA,NA
S04,andhra pradesh,andhra pradesh,Andhra Pradesh,877,957,934,914,NA,NA,NA,NA,NA
S05,andhra pradesh,andhra pradesh,Andhra Pradesh,93.8,91.6,92.2,82.7,NA,NA,NA,NA,NA
S06,andhra pradesh,andhra pradesh,Andhra Pradesh,89.4,76.6,80.2,NA,NA,NA,NA,NA,NA
S07,andhra pradesh,andhra pradesh,Andhra Pradesh,99.6,99.4,99.5,99.2,90.11689615869327,94.53176026726656,86.2578882923613,99.62352069214053,99.05166088443421
S08,andhra pradesh,andhra pradesh,Andhra Pradesh,99.4,95.4,96.7,95.6,94.73669796074667,95.81635761646668,93.7929735330131,99.36442142456121,94.0032033378214
S09,andhra pradesh,andhra pradesh,Andhra Pradesh,89.1,72.1,77.3,54.4,22.923847013960895,33.61131529759373,13.581991146274841,77.73647371857096,44.17584845875939
S10,andhra pradesh,andhra pradesh,Andhra Pradesh,96.6,77.9,83.6,62,31.62914579407029,51.870838711776145,14.62705844365515,89.96813586980858,49.897482255945064
S11,andhra pradesh,andhra pradesh,Andhra Pradesh,89.3,80.4,83.1,81.6,NA,NA,NA,NA,NA
S12,andhra pradesh,andhra pradesh,Andhra Pradesh,62.2,73.7,70.2,74.6,4.022636433181268,7.165215710873088,1.370757180156658,61.42768599220979,80.62886204666111
S13,andhra pradesh,andhra pradesh,Andhra Pradesh,10.2,9.8,9.9,NA,NA,NA,NA,NA,NA
S14,andhra pradesh,andhra pradesh,Andhra Pradesh,79,63.8,68.6,62.9340162027855,69.37101386380762,80.15655642251465,59.411764705882355,74.93959226198726,57.38158263538015
S15,andhra pradesh,andhra pradesh,Andhra Pradesh,86.4,76.3,79.5,77.27024194424962,83.76450316820488,87.48652696477201,80.01654944145635,88.8006266192426,71.18041991902574
S16,andhra pradesh,andhra pradesh,Andhra Pradesh,51.2,34.3,39.6,34.3,31.860584620045852,41.7746044796448,22.720588235294116,47.05345875637497,28.38592286213533
S17,andhra pradesh,andhra pradesh,Andhra Pradesh,59.5,42.5,47.9,51.3,38.68118177480756,46.55200316575452,30.753311258278142,63.83175459628424,41.29801404456674
S18,andhra pradesh,andhra pradesh,Andhra Pradesh,33.9,15.4,21,NA,NA,NA,NA,NA,NA
S19,andhra pradesh,andhra pradesh,Andhra Pradesh,65.1,41.5,48.8,NA,NA,NA,NA,NA,NA
S20,andhra pradesh,andhra pradesh,Andhra Pradesh,21.7,32.9,29.3,33,29.336885932242446,30.513751627696976,28.097345132743364,24.473357054492332,28.488888787248364
S21,andhra pradesh,andhra pradesh,Andhra Pradesh,13.1,15.2,14.5,15.8,NA,NA,NA,NA,NA
S22,andhra pradesh,andhra pradesh,Andhra Pradesh,1.5,1.8,1.7,1.8,NA,NA,NA,NA,NA
S23,andhra pradesh,andhra pradesh,Andhra Pradesh,9.3,14.1,12.6,11.8,NA,NA,NA,NA,NA
S24,andhra pradesh,andhra pradesh,Andhra Pradesh,40,80,67,83,NA,NA,NA,NA,NA
S25,andhra pradesh,andhra pradesh,Andhra Pradesh,14.4,22.1,19.9,23.6,NA,NA,NA,NA,NA
S26,andhra pradesh,andhra pradesh,Andhra Pradesh,29.8,30.4,30.3,34.9,NA,NA,NA,NA,NA
S27,andhra pradesh,andhra pradesh,Andhra Pradesh,33.7,35.8,35.2,40.8,NA,NA,NA,NA,NA
S28,andhra pradesh,andhra pradesh,Andhra Pradesh,70.8,71.2,71.1,69.5,NA,NA,NA,NA,NA
S29,andhra pradesh,andhra pradesh,Andhra Pradesh,70.3,71.1,70.8,69.4,NA,NA,NA,NA,NA
S30,andhra pradesh,andhra pradesh,Andhra Pradesh,68.3,70.2,69.6,68.3,NA,NA,NA,NA,NA
S31,andhra pradesh,andhra pradesh,Andhra Pradesh,0.6,0.4,0.4,0.6,NA,NA,NA,NA,NA
S32,andhra pradesh,andhra pradesh,Andhra Pradesh,0.2,0.1,0.2,0.2,NA,NA,NA,NA,NA
S33,andhra pradesh,andhra pradesh,Andhra Pradesh,0.1,0.1,0.1,0.2,NA,NA,NA,NA,NA
S34,andhra pradesh,andhra pradesh,Andhra Pradesh,0.9,0.3,0.5,0.2,NA,NA,NA,NA,NA
S35,andhra pradesh,andhra pradesh,Andhra Pradesh,0,0,0,0,NA,NA,NA,NA,NA
S36,andhra pradesh,andhra pradesh,Andhra Pradesh,5.2,4.4,4.7,4.7,NA,NA,NA,NA,NA
S37,andhra pradesh,andhra pradesh,Andhra Pradesh,2.3,2.8,2.6,3.1,NA,NA,NA,NA,NA
S38,andhra pradesh,andhra pradesh,Andhra Pradesh,18.6,18.6,18.6,19.7,NA,NA,NA,NA,NA
S39,andhra pradesh,andhra pradesh,Andhra Pradesh,33.6,27.1,28.9,25,NA,NA,NA,NA,NA
S40,andhra pradesh,andhra pradesh,Andhra Pradesh,82.7,81.3,81.7,82.3,NA,NA,NA,NA,NA
S41,andhra pradesh,andhra pradesh,Andhra Pradesh,67.2,67.6,67.5,76.3,NA,NA,NA,NA,NA
S42,andhra pradesh,andhra pradesh,Andhra Pradesh,92.5,92.9,92.8,94.9,NA,NA,NA,NA,NA
S43,andhra pradesh,andhra pradesh,Andhra Pradesh,76.7,67.6,70.3,56.1,NA,NA,NA,NA,NA
S44,andhra pradesh,andhra pradesh,Andhra Pradesh,45.6,39.3,41.1,30.6,NA,NA,NA,NA,NA
S45,andhra pradesh,andhra pradesh,Andhra Pradesh,94.2,97.5,96.5,92.6,NA,NA,NA,NA,NA
S46,andhra pradesh,andhra pradesh,Andhra Pradesh,92.2,90.1,90.7,79.7,NA,NA,NA,NA,NA
S47,andhra pradesh,andhra pradesh,Andhra Pradesh,2659,3248,3105,2322,NA,NA,NA,NA,NA
S48,andhra pradesh,andhra pradesh,Andhra Pradesh,NA,14.2,17.2,9.3,NA,NA,NA,NA,NA
S49,andhra pradesh,andhra pradesh,Andhra Pradesh,92.9,92.1,92.3,NA,NA,NA,NA,NA,NA
S50,andhra pradesh,andhra pradesh,Andhra Pradesh,98.6,95.7,96.5,91.5,NA,NA,NA,NA,NA
S51,andhra pradesh,andhra pradesh,Andhra Pradesh,41.8,53.7,50.4,38.3,NA,NA,NA,NA,NA
S52,andhra pradesh,andhra pradesh,Andhra Pradesh,1,1.4,1.3,3.7,NA,NA,NA,NA,NA
S53,andhra pradesh,andhra pradesh,Andhra Pradesh,98.3,95.2,96.1,92.1,NA,NA,NA,NA,NA
S54,andhra pradesh,andhra pradesh,Andhra Pradesh,50.5,39.3,42.4,40.1,NA,NA,NA,NA,NA
S55,andhra pradesh,andhra pradesh,Andhra Pradesh,66.1,61.4,63,57,NA,NA,NA,NA,NA
S56,andhra pradesh,andhra pradesh,Andhra Pradesh,30.9,25.2,26.6,25.5,NA,NA,NA,NA,NA
S57,andhra pradesh,andhra pradesh,Andhra Pradesh,69.3,74.7,73,65.3,NA,NA,NA,NA,NA
S58,andhra pradesh,andhra pradesh,Andhra Pradesh,89.1,87.5,88,79.9,NA,NA,NA,NA,NA
S59,andhra pradesh,andhra pradesh,Andhra Pradesh,92.4,95.6,94.6,97.3,NA,NA,NA,NA,NA
S60,andhra pradesh,andhra pradesh,Andhra Pradesh,70.6,76.9,75,72.3,NA,NA,NA,NA,NA
S61,andhra pradesh,andhra pradesh,Andhra Pradesh,84.8,89.9,88.4,89,NA,NA,NA,NA,NA
S62,andhra pradesh,andhra pradesh,Andhra Pradesh,83.7,88.6,87.1,89.4,NA,NA,NA,NA,NA
S63,andhra pradesh,andhra pradesh,Andhra Pradesh,27.1,31.3,30,NA,NA,NA,NA,NA,NA
S64,andhra pradesh,andhra pradesh,Andhra Pradesh,72,77,75.5,NA,NA,NA,NA,NA,NA
S65,andhra pradesh,andhra pradesh,Andhra Pradesh,83,86.4,85.3,68.8,NA,NA,NA,NA,NA
S66,andhra pradesh,andhra pradesh,Andhra Pradesh,81.7,79.7,80.3,79.3,NA,NA,NA,NA,NA
S67,andhra pradesh,andhra pradesh,Andhra Pradesh,86.4,97.4,94.2,91.6,NA,NA,NA,NA,NA
S68,andhra pradesh,andhra pradesh,Andhra Pradesh,11.5,1.3,4.3,8.4,NA,NA,NA,NA,NA
