ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
S88,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,30
S89,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,43.2
S92,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,47.3
S93,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,65.1
S94,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,51.5
S95,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,64.7
V08,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,49.8
S97,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,24.8
V81,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,9
V82,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,4.4
V83,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,19.8
V84,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,10.7
V85,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,5.9
V86,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,1.1
V87,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,0.2
V88,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,13.9
V89,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,2.3
S10,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,35.5
V90,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,2.4
S111,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,10.6
S112,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,12.4
S113,1,639,AN,Andaman & Nicobar Islands,North & Middle Andaman,21.2
S01,2,553,AP,Andhra Pradesh,Anantapur,56.9
S11,2,553,AP,Andhra Pradesh,Anantapur,77.8
S12,2,553,AP,Andhra Pradesh,Anantapur,76.5
V12,2,553,AP,Andhra Pradesh,Anantapur,58.2
S15,2,553,AP,Andhra Pradesh,Anantapur,86.5
S16,2,553,AP,Andhra Pradesh,Anantapur,30.8
S20,2,553,AP,Andhra Pradesh,Anantapur,29.6
S21,2,553,AP,Andhra Pradesh,Anantapur,NA
S23,2,553,AP,Andhra Pradesh,Anantapur,5.2
S28,2,553,AP,Andhra Pradesh,Anantapur,65.3
S29,2,553,AP,Andhra Pradesh,Anantapur,65.3
S02,2,553,AP,Andhra Pradesh,Anantapur,24
S30,2,553,AP,Andhra Pradesh,Anantapur,65
S31,2,553,AP,Andhra Pradesh,Anantapur,0
S32,2,553,AP,Andhra Pradesh,Anantapur,0
S33,2,553,AP,Andhra Pradesh,Anantapur,0.2
S34,2,553,AP,Andhra Pradesh,Anantapur,0
S36,2,553,AP,Andhra Pradesh,Anantapur,5.2
S37,2,553,AP,Andhra Pradesh,Anantapur,3.9
S38,2,553,AP,Andhra Pradesh,Anantapur,26.9
S39,2,553,AP,Andhra Pradesh,Anantapur,23.1
S40,2,553,AP,Andhra Pradesh,Anantapur,86.2
S03,2,553,AP,Andhra Pradesh,Anantapur,1000
S41,2,553,AP,Andhra Pradesh,Anantapur,77.5
S42,2,553,AP,Andhra Pradesh,Anantapur,88.9
S43,2,553,AP,Andhra Pradesh,Anantapur,59.6
V33,2,553,AP,Andhra Pradesh,Anantapur,47
S45,2,553,AP,Andhra Pradesh,Anantapur,93.5
S46,2,553,AP,Andhra Pradesh,Anantapur,80.7
V36,2,553,AP,Andhra Pradesh,Anantapur,9.4
S47,2,553,AP,Andhra Pradesh,Anantapur,3509
S48,2,553,AP,Andhra Pradesh,Anantapur,NA
S49,2,553,AP,Andhra Pradesh,Anantapur,21.6
S04,2,553,AP,Andhra Pradesh,Anantapur,1196
S50,2,553,AP,Andhra Pradesh,Anantapur,89.9
S51,2,553,AP,Andhra Pradesh,Anantapur,46.9
S52,2,553,AP,Andhra Pradesh,Anantapur,4.4
S53,2,553,AP,Andhra Pradesh,Anantapur,89.1
S54,2,553,AP,Andhra Pradesh,Anantapur,27.6
S55,2,553,AP,Andhra Pradesh,Anantapur,48.9
S56,2,553,AP,Andhra Pradesh,Anantapur,14.1
S57,2,553,AP,Andhra Pradesh,Anantapur,76.3
S59,2,553,AP,Andhra Pradesh,Anantapur,98.3
S60,2,553,AP,Andhra Pradesh,Anantapur,83.2
S05,2,553,AP,Andhra Pradesh,Anantapur,89.4
S61,2,553,AP,Andhra Pradesh,Anantapur,94.7
