sdistri,id,variable,mean,lci,uci,state
2,S85,nfhs4d_total,2.5626024256592563,0.7704828116188996,4.354722039699613,NA
2,S92,nfhs4d_total,71.31534071348786,65.00239432130189,77.6282871056738,NA
2,S07,nfhs4d_total,99.05747205741807,97.89218590628056,100.22275820855558,NA
2,S08,nfhs4d_total,97.77003089474732,96.40315833039513,99.1369034590995,NA
2,S09,nfhs4d_total,82.69816042891122,78.31256706764144,87.08375379018102,NA
2,S10,nfhs4d_total,61.76263310602531,51.215212738622284,72.31005347342834,NA
2,S12,nfhs4d_total,3.067151234302967,1.3174266743636809,4.816875794242254,NA
3,S86,nfhs4d_total,5.113832790234881,3.2376142338459166,6.990051346623844,NA
3,S88,nfhs4d_total,19.089549510727206,15.588875084243515,22.590223937210897,NA
3,S99,nfhs4d_total,0.9121150934432911,0.22374347535803396,1.6004867115285482,NA
