v025,state,id,variable,mean
1,chhattisgarh,S99,nfhs4s_urban,3.9426116510866955
1,chhattisgarh,S100,nfhs4s_urban,3.1717577741631366
1,chhattisgarh,S101,nfhs4s_urban,7.626701949534076
1,chhattisgarh,S105,nfhs4s_urban,8.76363619638501
1,chhattisgarh,S106,nfhs4s_urban,2.798604984023397
1,chhattisgarh,S107,nfhs4s_urban,11.975737536268245
1,chhattisgarh,S14,nfhs4s_urban,81.58498201260038
1,chhattisgarh,S16,nfhs4s_urban,46.124633043290494
1,chhattisgarh,S20,nfhs4s_urban,27.381188798493937
1,chhattisgarh,S20_rev,nfhs4s_urban,72.61881120150606
1,chhattisgarh,S128,nfhs4s_urban,13.073474151965755
1,chhattisgarh,S130,nfhs4s_urban,1.363268365984208
1,chhattisgarh,S15,nfhs4s_urban,93.04193421429234
1,chhattisgarh,S17,nfhs4s_urban,54.49593019473807
1,chhattisgarh,S87,nfhs4s_urban,21.11060822287728
1,chhattisgarh,S89,nfhs4s_urban,20.012456181536777
1,chhattisgarh,S129,nfhs4s_urban,52.215965319183255
1,chhattisgarh,S131,nfhs4s_urban,52.05983416882164
1,chhattisgarh,S102,nfhs4s_urban,6.2740193570500855
1,chhattisgarh,S103,nfhs4s_urban,6.977163336005117
1,chhattisgarh,S104,nfhs4s_urban,13.9004348243053
1,chhattisgarh,S108,nfhs4s_urban,16.51539653756874
1,chhattisgarh,S109,nfhs4s_urban,6.7781768016387005
1,chhattisgarh,S110,nfhs4s_urban,20.855847830468164
1,chhattisgarh,S81,nfhs4s_urban,31.961845704908725
1,chhattisgarh,S82,nfhs4s_urban,20.97275558444314
1,chhattisgarh,S83,nfhs4s_urban,10.451181318109054
1,chhattisgarh,S84,nfhs4s_urban,30.36277609546123
1,chhattisgarh,S85,nfhs4s_urban,2.671056425642644
1,chhattisgarh,S92,nfhs4s_urban,42.42956034265423
1,chhattisgarh,S07,nfhs4s_urban,99.47307597486822
1,chhattisgarh,S08,nfhs4s_urban,97.96119431038768
1,chhattisgarh,S09,nfhs4s_urban,66.89375250612166
1,chhattisgarh,S10,nfhs4s_urban,70.85838943190856
1,chhattisgarh,S12,nfhs4s_urban,59.843516893709406
1,daman and diu,S86,nfhs4s_urban,14.566012569838122
1,daman and diu,S88,nfhs4s_urban,33.54096424048487
1,daman and diu,S99,nfhs4s_urban,3.6150357933618595
1,daman and diu,S100,nfhs4s_urban,2.0990574755324936
1,daman and diu,S101,nfhs4s_urban,6.378023793465175
1,daman and diu,S105,nfhs4s_urban,7.59044630685439
1,daman and diu,S106,nfhs4s_urban,3.8683064851863134
1,daman and diu,S107,nfhs4s_urban,12.87075317487399
1,daman and diu,S14,nfhs4s_urban,83.45966996012893
